text,topic,set,label,MACE-P,stance_WA,stance_WA_conf
adopting gender-neutral language is a way to promote acceptance of those that are different,We should adopt gender-neutral language,train,0.812199112,0.476981979,1,1
adopting gender-neutral language may help reduce sexism.,We should adopt gender-neutral language,train,0.914790717,0.893637827,1,1
adopting gender-neutral language removes unconscious stereotyping of roles. for example that only men should be postmen.,We should adopt gender-neutral language,train,0.777246555,0.50576973,1,1
"adopting gender-neutral language will cost lots of money to fix signs, letters, forms, etc.",We should adopt gender-neutral language,train,0.688136906,0.135140223,-1,1
adopting gender-neutral language would be pandering to the current trend which will soon pass and our language would be left devoid of definitions.,We should adopt gender-neutral language,train,0.905331746,0.731450383,-1,0.909663223
adopting gender-neutral language would be taking the political-correctness of society a step to far. gender and diversity are to be celebrated not ignored.,We should adopt gender-neutral language,train,1,0.789550317,-1,0.602497597
adopting gender-neutral language would prevent children from believing they can't do certain things.  for example a girl should be able to have aspirations to be president if she so chose.,We should adopt gender-neutral language,train,0.631776081,0.250688583,1,0.799326135
adopting now an austerity regime will  sink the local economies and prevent any growth in scientific research for technological  improvement.,We should adopt an austerity regime,train,1,0.824703495,-1,0.927804834
adopting now an austerity regime will help future generations to cope with the limited  resources  we have.,We should adopt an austerity regime,train,0.813156346,0.349581613,1,1
adopting this would help the government to reduce its debt,We should adopt an austerity regime,train,0.752835324,0.357232047,1,1
adult relationships should not be regulated.,We should legalize polygamy,train,0.473337834,0.000957398,1,0.798961308
adults can’t play children so someone has to.,We should ban the use of child actors,train,0.289629714,0.000182529,-1,0.898926854
adults have the right to choose who to be in relationships with and how many people in the relationship,We should legalize polygamy,train,0.733550012,0.036283522,1,0.907739104
adults have the right to do what they please with their own bodies,We should legalize prostitution,train,1,0.860919315,1,1
adults have the right to do what they want with their own bodies,We should legalize prostitution,train,0.904086378,0.585936244,1,1
adults should be allowed to make their own medical treatment decisions,We should ban naturopathy,train,1,0.850994078,-1,0.927631834
adults should have the right to have their preferred lifestyle.,We should legalize polygamy,train,0.895707929,0.87846743,1,1
adults should have the right to modify their bodies if they wish to,We should ban cosmetic surgery,train,0.874245643,0.615869626,-1,1
affirmatice action levels the playing field for marginalized sectors of society,We should end affirmative action,train,0.88744313,0.845683567,-1,1
affirmative  action has helped numerous minorities to reach their dreams,We should end affirmative action,train,0.889123425,0.899119568,-1,1
affirmative action  hurts other people more than it helps.,We should end affirmative action,train,0.887476472,0.593980107,1,1
affirmative action  is still needed when there is inequality in society.,We should end affirmative action,train,1,0.970089026,-1,0.884570091
"affirmative action actively promotes candidates who would otherwise not be qualified on the basis of their race/ethnicity, sex, or gender identity. this leads to positions being filled by less capable people.",We should end affirmative action,train,0.814296108,0.809421351,1,0.505208414
affirmative action allows for marginalized groups that would be overlooked otherwise to get a shot.,We should end affirmative action,train,0.526336499,0.023173436,-1,0.79826289
affirmative action allows for minorities to have a chance in competitive jobs,We should end affirmative action,train,0.804861465,0.681631502,-1,1
affirmative action allows more diversity in the work or college environment.,We should end affirmative action,train,0.911482069,0.538691607,-1,1
affirmative action allows people to pursue a career that they may never have considered without help from the program.,We should end affirmative action,train,0.786523492,0.866309429,-1,1
affirmative action allows those who may be marginalized to progress in the work environment,We should end affirmative action,train,1,0.991627676,-1,0.898337397
affirmative action allows those who may have been left behind or marginalized to improve themselves,We should end affirmative action,train,0.845037153,0.802800547,-1,1
affirmative action allows those without the financial resources access to universities that they may otherwise have been locked out of being able to attend.,We should end affirmative action,train,0.975733706,0.850196548,-1,0.822370624
affirmative action breeds further resentment toward groups of society that are or were the subject of discrimination. equal opportunity is the best approach,We should end affirmative action,train,1,0.886730924,1,1
affirmative action breeds resentment in the workplace and demoralization in the job market,We should end affirmative action,train,1,0.639161473,1,1
affirmative action bypasses people who may be highly skilled but as they are not in a protected minority class can be turn down for employment by someone less skilled.,We should end affirmative action,train,1,0.762316224,1,0.89196163
affirmative action can be considered discriminatory against poor whites,We should end affirmative action,train,0.908129204,0.727839866,1,1
affirmative action can be counter-productive if people are resentful of the help that the individual has got.,We should end affirmative action,train,0.938778601,0.474997096,1,1
affirmative action can cause people who have really tried to be passed up by someone of lesser ability.,We should end affirmative action,train,0.80473572,0.432545892,1,0.82155149
affirmative action can lead to people getting jobs that they are not fully ready to do as they were given opportunities due to specific creteria that are unrelated to the job such as skin colour.,We should end affirmative action,train,0.706492969,0.119345391,1,1
"affirmative action can lead to people who are less qualified getting positions they would otherwise not be able to achieve,",We should end affirmative action,train,1,0.893261895,1,1
affirmative action can make it difficult for qualified people to get jobs.,We should end affirmative action,train,0.937768717,0.533456705,1,1
affirmative action can result in better candidates being rejected because they are not in a minority.,We should end affirmative action,train,1,0.93784558,1,0.905345643
affirmative action can support under represented groups to eliminate discrimination,We should end affirmative action,train,0.94949792,0.990945187,-1,1
Affirmative action causes people with the best credentials to lose out on a job because they are not a minority.,We should end affirmative action,train,1,0.96391567,1,0.889274624
"affirmative action centers on the minority regardless of capability, leaving those in the majority without  equal opportunities regardless of skillful capabilities, it is a form of discrimination in itself.",We should end affirmative action,train,0.948099781,0.999750481,1,0.90351681
affirmative action corrects for generations of wrong-doing and should not be discarded.,We should end affirmative action,train,1,0.999999509,-1,0.928092838
"affirmative action costs too much and hasn't changed the distribution of minorities in the socioeconomic system, it should end",We should end affirmative action,train,0.875969304,0.833268042,1,1
affirmative action creates a diverse environment in the working place which is good for business in terms of creativity and flexibility.,We should end affirmative action,train,0.951535615,0.612334004,-1,1
Affirmative action creates the perpetual need for affirmative action.,We should end affirmative action,train,0.259670987,0.001061081,1,0.600316657
Affirmative action demeans the achievements of minority individuals. Success attained through ability and hard work might be viewed by some as simply a result of affirmative action.,We should end affirmative action,train,1,0.984036289,1,1
affirmative action denies people with the best abilities succeeding due to merit alone and hence should be ended.,We should end affirmative action,train,0.882905739,0.723366586,1,0.905449195
"Affirmative action diminishes the credit that women and minorities receive for their accomplishments, as people will claim their success is due to systems of affirmative action rather than their own hard work.",We should end affirmative action,train,1,0.822328104,1,1
"affirmative action discriminates the majority, preventing skilled workers from gaining employment over someone less qualified but considered to be a member of a protected minority group.",We should end affirmative action,train,1,0.938870288,1,1
affirmative action disrupts that natural order of things,We should end affirmative action,train,0.893506157,0.576592376,1,1
affirmative action diversifies places and we are all better for it,We should end affirmative action,train,0.917550758,0.698299981,-1,1
affirmative action does not allow those that have earned their way to progress as they should be able to.  someone of another race my get chosen just because of their race and not because they deserve it.,We should end affirmative action,train,0.886019857,0.753020339,1,1
affirmative action does not encourage minorities to work for their grades since they know that they will get into college and get jobs whatever they've done in school,We should end affirmative action,train,0.816636049,0.473865995,1,0.90078111
affirmative action does not treat all races equally,We should end affirmative action,train,0.863776215,0.928462888,1,1
"Affirmative action doesn't really changes anything, quite the opposite, it perpetuates the inequality in society.",We should end affirmative action,train,0.903244926,0.997901639,1,0.900689621
"Affirmative action doesn't remove the need to be qualified in order to receive acceptance at a job or university, but rather forces institutions to consider people of diverse backgrounds when they historically haven't.",We should end affirmative action,train,1,0.830710101,-1,0.920298057
affirmative action ensures a fair representation for all people and it should not be stopped.,We should end affirmative action,train,0.901859152,0.999645235,-1,1
affirmative action ensures diversity in the workplace.,We should end affirmative action,train,0.913779394,0.842789259,-1,1
